City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
501,Ugoofaaru,MV,80.44,5.6667,73.0,moderate rain,Ungoofaaru Inn
502,Praia Da Vitoria,PT,71.76,38.7333,-27.0667,clear sky,Hotel Branco I
503,Vila Do Maio,CV,79.59,15.1333,-23.2167,scattered clouds,Hotel Marilu
504,Yamada,JP,77.09,39.4667,141.95,broken clouds,Iroha-ya Inn
505,Bodden Town,KY,82.4,19.2833,-81.25,few clouds,Will T Place
506,Kieta,PG,84.51,-6.2167,155.6333,scattered clouds,Uruna Bay Retreat
509,Muroto,JP,77.18,33.2833,134.15,clear sky,Oota Ryokan
511,Phulpur,IN,83.35,25.55,82.1,clear sky,Ramnath Guest House
516,Kumphawapi,TH,77.54,17.1087,103.0149,overcast clouds,ลีลาวดี รีสอร์ท
520,Nchelenge,ZM,71.47,-9.3451,28.734,few clouds,KD Travellers Home
521,Tuy Hoa,VN,76.62,13.0833,109.3,light rain,CenDeluxe Hotel Tuy Hoa
522,Maceio,BR,71.04,-9.6658,-35.7353,broken clouds,Hotel Ponta Verde Maceió
523,Huilong,CN,80.92,31.8111,121.655,clear sky,Hilton Garden Inn Qidong
524,Esmeralda,CU,75.58,21.8525,-78.1169,overcast clouds,Centro de Pioneros Exploradores
526,Mildura,AU,75.07,-34.2,142.15,few clouds,Mercure Hotel Mildura
529,San Policarpo,PH,83.75,12.1791,125.5072,overcast clouds,Agapita M. Nicart
530,Majene,ID,84.97,-3.5403,118.9707,overcast clouds,Kost Putri RABBANI
533,Karonga,MW,71.04,-9.9333,33.9333,scattered clouds,Sumuka Inn
534,Saint-Joseph,RE,72.46,-21.3667,55.6167,scattered clouds,"""Plantation Bed and Breakfast"
536,Taganak,PH,81.5,6.0833,118.3,overcast clouds,Taganak
537,Nishihara,JP,85.68,26.1842,127.7558,broken clouds,Minshuku Agaihama
540,Kiunga,PG,88.54,-6.1219,141.2906,overcast clouds,Airport Lodge Kiunga
547,Sokoni,TZ,75.74,-6.4333,39.55,broken clouds,Ujamaa Beach Resort
548,Yeppoon,AU,78.58,-23.1333,150.7333,overcast clouds,Villa Mar Colina
550,Kaohsiung,TW,89.55,22.6163,120.3133,few clouds,御宿商旅-中山館
551,Myitkyina,MM,87.44,25.3833,97.4,overcast clouds,Shwe Phyu Hotel
554,Galesong,ID,89.62,-5.3166,119.3661,broken clouds,Sapriadi Appy
559,Doha,QA,84.18,25.2867,51.5333,clear sky,Mövenpick Doha
560,Omboue,GA,75.34,-1.5746,9.2618,light rain,Hotel Olako
563,Galveston,US,72.0,29.3669,-94.9669,clear sky,Crystal Suites
565,Piacabucu,BR,72.3,-10.4056,-36.4344,clear sky,Piaçabuçu News
